baseline_id,structure,structural_deviation,source_term,source_partition
SB3729,"developmental tissue-patterning, morphogenesis, and organ-architecture structure",departure from the reference structural configuration or regulated functional range,Oculorespiratory syndrome,remaining_5256
SB3730,whole-organism integrated physiological structure,abnormal swallowing or intake-related motor state,Odynophagia,remaining_5256
SB3731,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema,remaining_5256
SB3732,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema aggravated,remaining_5256
SB3733,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema auricular,remaining_5256
SB3734,"cardiac myocardium, conduction, chamber, valve, and coronary-perfusion structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema due to cardiac disease,remaining_5256
SB3735,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema genital,remaining_5256
SB3736,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema labial genital,remaining_5256
SB3737,"oral mucosal, gingival, dental, and salivary-interface structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema mouth,remaining_5256
SB3738,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema mucosal,remaining_5256
SB3739,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Oedema peripheral,remaining_5256
SB3740,"oesophageal mucosal, peristaltic, and sphincter-control structure","altered configuration or regulated output of the named structure, expressed as the state described by oesophageal achalasia",Oesophageal achalasia,remaining_5256
SB3741,"oesophageal mucosal, peristaltic, and sphincter-control structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Oesophageal atresia,remaining_5256
SB3742,"oesophageal mucosal, peristaltic, and sphincter-control structure","altered configuration or regulated output of the named structure, expressed as the state described by oesophageal candidiasis",Oesophageal candidiasis,remaining_5256
SB3743,"oesophageal mucosal, peristaltic, and sphincter-control structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Oesophageal carcinoma,remaining_5256
SB3744,"oesophageal mucosal, peristaltic, and sphincter-control structure",abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Oesophageal discomfort,remaining_5256
SB3745,"oesophageal mucosal, peristaltic, and sphincter-control structure",departure from the reference structural configuration or regulated functional range,Oesophageal disorder,remaining_5256
SB3746,vascular wall and hemostatic integrity structure,vascular or tissue integrity breach with blood extravasation/accumulation,Oesophageal haemorrhage,remaining_5256
SB3747,"oesophageal mucosal, peristaltic, and sphincter-control structure","altered configuration or regulated output of the named structure, expressed as the state described by oesophageal irritation",Oesophageal irritation,remaining_5256
SB3748,"oesophageal mucosal, peristaltic, and sphincter-control structure",departure from the reference structural configuration or regulated functional range,Oesophageal motility disorder,remaining_5256
SB3749,"oesophageal mucosal, peristaltic, and sphincter-control structure",partial or complete luminal/pathway blockage with impaired transit or flow,Oesophageal obstruction,remaining_5256
SB3750,"oesophageal mucosal, peristaltic, and sphincter-control structure",increased nociceptive signaling associated with local tissue or neural perturbation,Oesophageal pain,remaining_5256
SB3751,"oesophageal mucosal, peristaltic, and sphincter-control structure","altered configuration or regulated output of the named structure, expressed as the state described by oesophageal perforation",Oesophageal perforation,remaining_5256
SB3752,"oesophageal mucosal, peristaltic, and sphincter-control structure",retrograde transit across a normally directional junction or valve,Oesophageal reflux aggravated,remaining_5256
SB3753,"oesophageal mucosal, peristaltic, and sphincter-control structure",structural continuity failure producing an abnormal opening or separation,Oesophageal rupture,remaining_5256
SB3754,"oesophageal mucosal, peristaltic, and sphincter-control structure",excess or sustained contractile activation causing abnormal narrowing or mechanical state,Oesophageal spasm,remaining_5256
SB3755,"oesophageal mucosal, peristaltic, and sphincter-control structure",pathologic lumen narrowing with increased resistance to transit or flow,Oesophageal stenosis,remaining_5256
SB3756,"oesophageal mucosal, peristaltic, and sphincter-control structure",pathologic lumen narrowing with increased resistance to transit or flow,Oesophageal stenosis acquired,remaining_5256
SB3757,"oesophageal mucosal, peristaltic, and sphincter-control structure",localized epithelial or tissue-surface loss with reduced barrier continuity,Oesophageal ulcer,remaining_5256
SB3758,vascular wall and hemostatic integrity structure,vascular or tissue integrity breach with blood extravasation/accumulation,Oesophageal varices haemorrhage,remaining_5256
